segment,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes
direction,long,598,0.3010033444816054,3.1751672240802677,0.12761371667805932,1.1845776222416642,1898.75,0.4765886287625418,0.342809364548495,0.22408026755852842,0.1354515050167224,0.6789297658862876,39.84489966555184,23.75,27.00083612040134,27.0,76.36039868986062,74.9307498217322,20.637123745819398
direction,short,498,0.24899598393574296,-0.11295180722891567,-0.004907462444782882,0.9939050818073464,-56.25,0.4598393574297189,0.30522088353413657,0.20682730923694778,0.14859437751004015,0.7329317269076305,38.38805220883534,21.0,26.974899598393574,27.5,75.70996593174453,73.98878008046762,16.504016064257026
multi_level_confluence,False,1071,0.2773109243697479,1.6552287581699345,0.0664880518215294,1.0929430885783942,1772.75,0.47058823529411764,0.32866479925303455,0.2166199813258637,0.14098972922502334,0.704014939309057,39.26190476190476,22.5,27.070728291316527,27.25,76.13247093273115,74.48366455049421,18.758169934640524
multi_level_confluence,True,25,0.28,2.79,0.10641531100478474,1.1576271186440679,69.75,0.4,0.2,0.2,0.16,0.68,35.8,19.5,23.49,26.0,73.16820326361477,71.60200657246877,18.8
level_group x setup_family,Asia high/low | reversal,12,0.4166666666666667,8.083333333333334,0.30984126984126986,1.5615050651230102,97.0,0.5833333333333334,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5833333333333334,43.395833333333336,39.125,21.854166666666668,26.5,77.19687817185813,74.93347373803823,27.833333333333332
level_group x setup_family,London high/low | reversal,32,0.1875,-5.8984375,-0.2432100449293966,0.7019344650611923,-188.75,0.5,0.40625,0.1875,0.09375,0.78125,41.2734375,27.625,27.578125,26.25,75.96418854181451,74.2031684171445,16.78125
level_group x setup_family,PDH/PDL | reversal,13,0.15384615384615385,-9.846153846153847,-0.3938461538461538,0.5391539153915391,-128.0,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.8461538461538461,54.55769230769231,32.75,63.75,29.75,77.17900319563208,74.4,11.692307692307692
level_group x setup_family,PMH/PML | continuation,2,0.0,-25.25,-1.01,0.0,-50.5,0.0,0.0,0.0,0.0,1.0,13.375,13.375,31.125,31.125,75.43878830026671,75.43878830026671,1.5
level_group x setup_family,PMH/PML | reversal,107,0.2523364485981308,-3.675233644859813,-0.14331558053260543,0.8052976853570987,-393.25,0.37383177570093457,0.27102803738317754,0.19626168224299065,0.09345794392523364,0.7476635514018691,34.55607476635514,19.0,28.4088785046729,28.75,75.29564361190464,73.39259259259259,16.91588785046729
level_group x setup_family,external swing | reversal,314,0.2802547770700637,2.338375796178344,0.09519487538824603,1.1333787465940055,734.25,0.47770700636942676,0.321656050955414,0.21656050955414013,0.14012738853503184,0.6910828025477707,38.5843949044586,22.25,26.851114649681527,27.0,76.4333879923641,75.72169531714677,19.340764331210192
