segment,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes,year,setup_family,direction,timeframe
direction_htf_context,conflicting,186,0.25806451612903225,0.7594086021505376,0.029044849003268865,1.0418673582808446,141.25,0.44623655913978494,0.3118279569892473,0.22043010752688172,0.15591397849462366,0.7204301075268817,39.26747311827957,19.75,26.795698924731184,27.0,74.96971142854034,73.52259537592971,17.29032258064516,,,short,
direction_htf_context,neutral,0,,,,,,,,,,,,,,,,,,,,short,
direction_htf_context,unknown,0,,,,,,,,,,,,,,,,,,,,short,
timeframe_relation,aligned,565,0.2991150442477876,2.2977876106194692,0.09025223752202204,1.1328914706860813,1298.25,0.47079646017699117,0.336283185840708,0.22123893805309736,0.13451327433628318,0.6831858407079646,39.3070796460177,22.75,26.70575221238938,27.0,75.77096738095044,74.0,20.065486725663717,,,,1d
timeframe_relation,opposed,580,0.25689655172413794,1.039655172413793,0.04237437438402405,1.0567235783829547,603.0,0.4603448275862069,0.3120689655172414,0.2103448275862069,0.15344827586206897,0.7241379310344828,39.140086206896555,21.625,27.486637931034483,27.5,75.66102149121525,73.91273665199111,16.779310344827586,,,,1d
timeframe_relation,neutral,65,0.26153846153846155,2.207692307692308,0.09378821908937396,1.1191118489313137,143.5,0.5692307692307692,0.38461538461538464,0.24615384615384617,0.16923076923076924,0.7384615384615385,43.66538461538462,32.0,26.453846153846154,27.5,76.3814223264691,75.8,19.369230769230768,,,,1d
timeframe_relation,unknown,8,0.375,15.96875,0.6387500000000002,2.011881188118812,127.75,0.5,0.375,0.375,0.25,0.625,40.6875,18.0,27.28125,31.5,77.9341622594122,76.5,15.875,,,,1d
timeframe_year_relation,aligned,163,0.3558282208588957,4.578220858895706,0.18270110372318846,1.289188141832978,746.25,0.5153374233128835,0.34355828220858897,0.2085889570552147,0.1165644171779141,0.6257668711656442,39.54754601226994,26.75,23.429447852760735,25.75,75.66301024571499,73.96835664109987,25.042944785276074,2023,,,1d
timeframe_year_relation,opposed,159,0.29559748427672955,1.929245283018868,0.07892817897658752,1.1115251772405017,306.75,0.48427672955974843,0.3333333333333333,0.2138364779874214,0.12578616352201258,0.6855345911949685,38.820754716981135,22.5,25.095911949685533,27.25,75.67137863906359,73.91341153616337,22.660377358490567,2023,,,1d
timeframe_year_relation,neutral,21,0.23809523809523808,-4.976190476190476,-0.19904761904761903,0.7413366336633663,-104.5,0.7142857142857143,0.42857142857142855,0.19047619047619047,0.09523809523809523,0.7619047619047619,46.166666666666664,48.75,27.773809523809526,27.5,76.37273383763252,76.0,19.666666666666668,2023,,,1d
timeframe_year_relation,unknown,1,1.0,54.5,2.18,inf,54.5,1.0,1.0,1.0,0.0,0.0,78.25,78.25,23.5,23.5,72.0,72.0,59.0,2023,,,1d
timeframe_year_relation,aligned,176,0.3181818181818182,2.1264204545454546,0.08472388359286359,1.1260419297802475,374.25,0.4659090909090909,0.3352272727272727,0.23295454545454544,0.11931818181818182,0.6647727272727273,38.32528409090909,22.25,25.866477272727273,27.0,75.50628990309032,74.0,22.90909090909091,2024,,,1d
timeframe_year_relation,opposed,186,0.24193548387096775,-1.1021505376344085,-0.04180612908937927,0.9407214631677872,-205.0,0.41397849462365593,0.27956989247311825,0.1827956989247312,0.13440860215053763,0.7311827956989247,35.43682795698925,19.25,25.559139784946236,27.0,75.80121278675574,73.98408490862388,17.881720430107528,2024,,,1d
timeframe_year_relation,neutral,22,0.22727272727272727,-0.09090909090909091,-0.009608903682130167,0.9953051643192489,-2.0,0.5454545454545454,0.4090909090909091,0.2727272727272727,0.13636363636363635,0.7727272727272727,43.54545454545455,41.25,25.147727272727273,28.125,78.17612867147817,76.07459480570202,23.136363636363637,2024,,,1d
timeframe_year_relation,unknown,4,0.0,-25.25,-1.01,0.0,-101.0,0.25,0.0,0.0,0.0,1.0,10.125,6.0,32.875,33.25,77.61832451882441,76.35710594315245,4.25,2024,,,1d
timeframe_year_relation,aligned,226,0.24336283185840707,0.786504424778761,0.027879782215569644,1.0421258442943477,177.75,0.4424778761061947,0.33185840707964603,0.22123893805309736,0.1592920353982301,0.7389380530973452,39.89823008849557,22.125,29.722345132743364,29.0,76.05495078425469,74.12876268178337,14.261061946902656,2025,,,1d
timeframe_year_relation,opposed,235,0.2425531914893617,2.132978723404255,0.08427019870672799,1.1133600949850173,501.25,0.4808510638297872,0.32340425531914896,0.2297872340425532,0.18723404255319148,0.7446808510638298,42.287234042553195,25.75,30.629787234042553,28.75,75.54305397003048,73.80097962201377,11.927659574468086,2025,,,1d
timeframe_year_relation,neutral,22,0.3181818181818182,11.363636363636363,0.4767104600825532,1.6671114076050702,250.0,0.45454545454545453,0.3181818181818182,0.2727272727272727,0.2727272727272727,0.6818181818181818,41.39772727272727,17.5,26.5,27.625,74.59500953898588,74.3463987274338,15.318181818181818,2025,,,1d
