component,dimension,value,with_trades,without_trades,with_expectancy,without_expectancy,expectancy_lift,with_pf,without_pf,pf_lift
premium_discount,direction,short,330,235,-0.9318181818181818,2.393617021276596,-3.3254352030947776,0.9498920438342771,1.13077593722755,-0.18088389339327304
premium_discount,family,reversal,715,318,-0.02902097902097902,3.449685534591195,-3.478706513612174,0.9984120606860664,1.2007962293506613,-0.20238416866459497
premium_discount,family,continuation,56,129,6.375,5.73062015503876,0.6443798449612403,1.3724569640062598,1.3297646927623508,0.042692271243909063
relative_volume,overall,all,926,292,1.8296436285097193,1.6378424657534247,0.19180116275629455,1.1014931184760308,1.094937965260546,0.006555153215484832
relative_volume,year,2023,260,84,3.7971153846153847,0.1875,3.6096153846153847,1.2257603475874685,1.0115638766519823,0.21419647093548622
relative_volume,year,2024,307,81,0.44462540716612375,-0.8672839506172839,1.3119093577834078,1.0247204237786933,0.9509684173791659,0.07375200639952739
relative_volume,year,2025,359,127,1.5891364902506964,4.19488188976378,-2.6057453995130833,1.0839155696109435,1.2375431947386022,-0.1536276251276587
relative_volume,direction,long,492,161,3.7215447154471546,0.5372670807453416,3.184277634701813,1.2154307733035268,1.0309647395740111,0.18446603372951564
relative_volume,direction,short,434,131,-0.3150921658986175,2.9904580152671754,-3.305550181165793,0.9833109592384671,1.1745766488413547,-0.1912656896028876
relative_volume,family,reversal,775,258,1.216451612903226,0.5174418604651163,0.6990097524381096,1.0673056328978368,1.029512545595225,0.03779308730261177
relative_volume,family,continuation,151,34,4.97682119205298,10.139705882352942,-5.162884690299962,1.2797580269892974,1.6707198443579767,-0.3909618173686793
signal_to_noise,overall,all,377,841,0.9038461538461539,2.178061831153389,-1.274215677307235,1.0495474208440874,1.1233211027703909,-0.07377368192630351
