segment,year,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes
structure_shift,2024,True,267,0.2808988764044944,0.8192883895131086,0.0325412578032119,1.0458859929728879,218.75,0.4344569288389513,0.32209737827715357,0.21348314606741572,0.12734082397003746,0.704119850187266,36.517790262172284,19.25,25.53183520599251,27.0,77.15127510643488,76.2802678619389,20.164794007490638
structure_shift,2025,True,343,0.27988338192419826,5.92201166180758,0.23681684610554823,1.3292406191749737,2031.25,0.49271137026239065,0.358600583090379,0.2565597667638484,0.21282798833819241,0.7113702623906706,43.92128279883382,27.5,28.41545189504373,28.5,76.71940527911934,75.07739733677509,12.778425655976676
fvg_context,2023,False,293,0.31399317406143346,1.4718430034129693,0.060591086725587474,1.0873993008055935,431.25,0.5085324232081911,0.33447098976109213,0.20136518771331058,0.10921501706484642,0.6655290102389079,38.68856655290102,26.0,24.75853242320819,26.75,75.31408498374529,73.79118030143275,23.580204778156997
fvg_context,2024,False,334,0.26047904191616766,-0.8622754491017964,-0.03354809225769472,0.9525750277880697,-288.0,0.44011976047904194,0.2964071856287425,0.20359281437125748,0.12574850299401197,0.7155688622754491,36.67664670658683,21.125,26.012724550898202,27.0,75.52508601702988,73.93582433439173,19.853293413173652
fvg_context,2025,False,416,0.2403846153846154,1.5522836538461537,0.06089587390296436,1.0827274765397303,645.75,0.4639423076923077,0.3245192307692308,0.22596153846153846,0.17548076923076922,0.7427884615384616,41.05709134615385,23.0,29.924278846153847,28.625,75.51916188154489,73.61947486266824,13.358173076923077
fvg_context,2023,True,51,0.37254901960784315,11.21078431372549,0.4426798422266666,1.7140181080237278,571.75,0.5490196078431373,0.4117647058823529,0.27450980392156865,0.17647058823529413,0.6274509803921569,45.700980392156865,33.0,22.779411764705884,25.5,77.91412517677594,76.0,24.470588235294116
fvg_context,2024,True,54,0.35185185185185186,6.560185185185185,0.2609098228663447,1.4017578678763822,354.25,0.46296296296296297,0.3888888888888889,0.24074074074074073,0.12962962962962962,0.6481481481481481,38.611111111111114,16.625,24.12962962962963,26.875,77.65003704519084,76.09023325979723,23.203703703703702
fvg_context,2025,True,70,0.3,6.535714285714286,0.2604182007854688,1.3702954269526508,457.5,0.45714285714285713,0.35714285714285715,0.2571428571428571,0.21428571428571427,0.7,42.746428571428574,23.0,30.185714285714287,31.125,77.24507753333904,75.70500379075057,12.242857142857142
time_bucket_exp004,2023,10:30+,344,0.3226744186046512,2.9156976744186047,0.11723796617487538,1.1748910200523104,1003.0,0.5145348837209303,0.34593023255813954,0.21220930232558138,0.11918604651162791,0.6598837209302325,39.7281976744186,27.125,24.46511627906977,26.625,75.69955605887482,73.9654434864438,23.712209302325583
time_bucket_exp004,2024,10:30+,388,0.27319587628865977,0.17074742268041238,0.007433163970908702,1.0095262060536343,66.25,0.44329896907216493,0.30927835051546393,0.20876288659793815,0.12628865979381443,0.7061855670103093,36.9458762886598,20.5,25.750644329896907,27.0,75.82082662404196,74.0,20.31958762886598
time_bucket_exp004,2025,10:30+,486,0.24897119341563786,2.2700617283950617,0.089633657610321,1.1220240564081294,1103.25,0.46296296296296297,0.3292181069958848,0.23045267489711935,0.18106995884773663,0.7366255144032922,41.300411522633745,23.0,29.9619341563786,29.0,75.76775055567161,74.0,13.197530864197532
