component_a,component_b,phi,jaccard,a_active,b_active,both_active,a_when_b,b_when_a,neither_expectancy,a_only_expectancy,b_only_expectancy,both_expectancy,a_added_to_b_expectancy,b_added_to_a_expectancy,a_added_to_b_pf,b_added_to_a_pf,abs_phi
higher_timeframe_bias,penalty_stale_setup,,0.0,1119,0,0,,0.0,-2.4545454545454546,2.1586237712243075,,,,,,,
liquidity_sweep,penalty_data_quality,,0.0,1033,0,0,,0.0,5.925675675675675,1.0418683446272992,,,,,,,
liquidity_sweep,penalty_failed_retest,,0.0,1033,0,0,,0.0,5.925675675675675,1.0418683446272992,,,,,,,
liquidity_sweep,penalty_htf_conflict,,0.0,1033,0,0,,0.0,5.925675675675675,1.0418683446272992,,,,,,,
liquidity_sweep,penalty_stale_setup,,0.0,1033,0,0,,0.0,5.925675675675675,1.0418683446272992,,,,,,,
displacement,penalty_data_quality,,0.0,891,0,0,,0.0,-0.8998470948012233,2.7685185185185186,,,,,,,
displacement,penalty_failed_retest,,0.0,891,0,0,,0.0,-0.8998470948012233,2.7685185185185186,,,,,,,
displacement,penalty_htf_conflict,,0.0,891,0,0,,0.0,-0.8998470948012233,2.7685185185185186,,,,,,,
displacement,penalty_stale_setup,,0.0,891,0,0,,0.0,-0.8998470948012233,2.7685185185185186,,,,,,,
structure_shift,penalty_data_quality,,0.0,838,0,0,,0.0,-1.3296052631578947,3.1954057279236276,,,,,,,
structure_shift,penalty_failed_retest,,0.0,838,0,0,,0.0,-1.3296052631578947,3.1954057279236276,,,,,,,
structure_shift,penalty_htf_conflict,,0.0,838,0,0,,0.0,-1.3296052631578947,3.1954057279236276,,,,,,,
structure_shift,penalty_stale_setup,,0.0,838,0,0,,0.0,-1.3296052631578947,3.1954057279236276,,,,,,,
fvg_or_retest,penalty_data_quality,,0.0,1128,0,0,,0.0,-2.5805555555555557,2.1318705673758864,,,,,,,
fvg_or_retest,penalty_failed_retest,,0.0,1128,0,0,,0.0,-2.5805555555555557,2.1318705673758864,,,,,,,
fvg_or_retest,penalty_htf_conflict,,0.0,1128,0,0,,0.0,-2.5805555555555557,2.1318705673758864,,,,,,,
fvg_or_retest,penalty_stale_setup,,0.0,1128,0,0,,0.0,-2.5805555555555557,2.1318705673758864,,,,,,,
draw_on_liquidity,penalty_data_quality,,0.0,1189,0,0,,0.0,-0.04310344827586207,1.8282169890664424,,,,,,,
draw_on_liquidity,penalty_failed_retest,,0.0,1189,0,0,,0.0,-0.04310344827586207,1.8282169890664424,,,,,,,
draw_on_liquidity,penalty_htf_conflict,,0.0,1189,0,0,,0.0,-0.04310344827586207,1.8282169890664424,,,,,,,
draw_on_liquidity,penalty_stale_setup,,0.0,1189,0,0,,0.0,-0.04310344827586207,1.8282169890664424,,,,,,,
premium_discount,penalty_data_quality,,0.0,771,0,0,,0.0,4.107941834451902,0.4361219195849546,,,,,,,
premium_discount,penalty_failed_retest,,0.0,771,0,0,,0.0,4.107941834451902,0.4361219195849546,,,,,,,
premium_discount,penalty_htf_conflict,,0.0,771,0,0,,0.0,4.107941834451902,0.4361219195849546,,,,,,,
premium_discount,penalty_stale_setup,,0.0,771,0,0,,0.0,4.107941834451902,0.4361219195849546,,,,,,,
relative_volume,penalty_data_quality,,0.0,926,0,0,,0.0,1.6378424657534247,1.8296436285097193,,,,,,,
relative_volume,penalty_failed_retest,,0.0,926,0,0,,0.0,1.6378424657534247,1.8296436285097193,,,,,,,
relative_volume,penalty_htf_conflict,,0.0,926,0,0,,0.0,1.6378424657534247,1.8296436285097193,,,,,,,
relative_volume,penalty_stale_setup,,0.0,926,0,0,,0.0,1.6378424657534247,1.8296436285097193,,,,,,,
signal_to_noise,penalty_data_quality,,0.0,377,0,0,,0.0,2.178061831153389,0.9038461538461539,,,,,,,
signal_to_noise,penalty_failed_retest,,0.0,377,0,0,,0.0,2.178061831153389,0.9038461538461539,,,,,,,
signal_to_noise,penalty_htf_conflict,,0.0,377,0,0,,0.0,2.178061831153389,0.9038461538461539,,,,,,,
signal_to_noise,penalty_stale_setup,,0.0,377,0,0,,0.0,2.178061831153389,0.9038461538461539,,,,,,,
room_to_target,penalty_data_quality,,0.0,1203,0,0,,0.0,18.183333333333334,1.5791770573566084,,,,,,,
room_to_target,penalty_failed_retest,,0.0,1203,0,0,,0.0,18.183333333333334,1.5791770573566084,,,,,,,
